name,bus,carrier,p_nom_opt,capital_cost,marginal_cost,efficiency,annual_generation_MWh,capacity_factor
DK_solar,DK,solar,0.0,79356.58259808348,0.0134,1.0,0.0,
DK_onshore_wind,DK,onwind,0.0,135624.35917903596,1.9035,1.0,0.0,
DK_offshore_wind,DK,offwind,0.0,232062.96563555775,0.0267,1.0,0.0,
DK_coal,DK,coal,4680.069171063061,423983.3261228014,26.067353932584272,0.356,36750281.89919711,0.8939558602288725
DK_nuclear,DK,nuclear,0.0,947758.9752212986,27.322803680981593,0.326,0.0,
DE_solar,DE,solar,0.0,79356.58259808348,0.0134,1.0,0.0,
DE_onshore_wind,DE,onwind,0.0,135624.35917903596,1.9035,1.0,0.0,
DE_offshore_wind,DE,offwind,40213.730762798295,232062.96563555775,0.0267,1.0,190784602.44381133,0.5401030482379521
DE_coal,DE,coal,56084.8898923824,423983.3261228014,26.067353932584272,0.356,405010557.34718704,0.8221066199703619
DE_nuclear,DE,nuclear,0.0,947758.9752212986,27.322803680981593,0.326,0.0,
SE_solar,SE,solar,0.0,79356.58259808348,0.0134,1.0,0.0,
SE_onshore_wind,SE,onwind,17853.71012067662,135624.35917903596,1.9035,1.0,46760073.0898696,0.29816342951753166
SE_offshore_wind,SE,offwind,0.0,232062.96563555775,0.0267,1.0,0.0,
SE_coal,SE,coal,14542.519093879726,423983.3261228014,26.067353932584272,0.356,110503301.4249737,0.8650541292163094
SE_nuclear,SE,nuclear,0.0,947758.9752212986,27.322803680981593,0.326,0.0,
NO_solar,NO,solar,0.0,79356.58259808348,0.0134,1.0,0.0,
NO_onshore_wind,NO,onwind,0.0,135624.35917903596,1.9035,1.0,0.0,
NO_offshore_wind,NO,offwind,0.0,232062.96563555775,0.0267,1.0,0.0,
NO_coal,NO,coal,17084.501260981626,423983.3261228014,26.067353932584272,0.356,122840105.27513225,0.8185506310916925
NO_nuclear,NO,nuclear,0.0,947758.9752212986,27.322803680981593,0.326,0.0,
NO_CH4_supply,NO_CH4,CH4 supply,221318.14656482893,0.0,42.9003,1.0,212985009.60683972,0.10955688767292551
