name,bus0,bus1,carrier,p_nom,p_nom_opt,p_nom_extendable,capital_cost,marginal_cost,efficiency,energy_to_power_ratio
DK_battery_charger,DK,DK_battery,battery charger,0.0,0.0,True,41650.76232417379,0.0,0.9772410142846032,
DK_battery_discharger,DK_battery,DK,battery discharger,0.0,0.0,True,0.0,0.0,0.9772410142846032,
DE_battery_charger,DE,DE_battery,battery charger,0.0,13864.854318816397,True,41650.76232417379,0.0,0.9772410142846032,
DE_battery_discharger,DE_battery,DE,battery discharger,0.0,14187.753191024498,True,0.0,0.0,0.9772410142846032,
SE_battery_charger,SE,SE_battery,battery charger,0.0,1965.1585238291564,True,41650.76232417379,0.0,0.9772410142846032,
SE_battery_discharger,SE_battery,SE,battery discharger,0.0,2010.9251403736525,True,0.0,0.0,0.9772410142846032,
NO_battery_charger,NO,NO_battery,battery charger,0.0,1022.9412511684473,True,41650.76232417379,0.0,0.9772410142846032,
NO_battery_discharger,NO_battery,NO,battery discharger,0.0,1046.7645506234708,True,0.0,0.0,0.9772410142846032,
DK_CCGT,DK_CH4,DK,CCGT,0.0,0.0,True,136142.58958717366,5.744,0.57,
DE_CCGT,DE_CH4,DE,CCGT,0.0,29957.61464447802,True,136142.58958717366,5.744,0.57,
SE_CCGT,SE_CH4,SE,CCGT,0.0,16552.44724832453,True,136142.58958717366,5.744,0.57,
NO_CCGT,NO_CH4,NO,CCGT,0.0,9190.742690058483,True,136142.58958717366,5.744,0.57,
NO_DK_CH4_NO_to_DK,NO_CH4,DK_CH4,CH4 pipeline,0.0,167800.07816160546,True,0.0,0.0,0.994,
NO_DK_CH4_DK_to_NO,DK_CH4,NO_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.994,
NO_SE_CH4_NO_to_SE,NO_CH4,SE_CH4,CH4 pipeline,0.0,35837.274647201564,True,0.0,0.0,0.995,
NO_SE_CH4_SE_to_NO,SE_CH4,NO_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.995,
NO_DE_CH4_NO_to_DE,NO_CH4,DE_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.991,
NO_DE_CH4_DE_to_NO,DE_CH4,NO_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.991,
DK_SE_CH4_DK_to_SE,DK_CH4,SE_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.997,
DK_SE_CH4_SE_to_DK,SE_CH4,DK_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.997,
DK_DE_CH4_DK_to_DE,DK_CH4,DE_CH4,CH4 pipeline,0.0,158466.11534501894,True,0.0,0.0,0.9975,
DK_DE_CH4_DE_to_DK,DE_CH4,DK_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.9975,
DE_SE_CH4_DE_to_SE,DE_CH4,SE_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.993,
DE_SE_CH4_SE_to_DE,SE_CH4,DE_CH4,CH4 pipeline,0.0,0.0,True,0.0,0.0,0.993,
DK_ASHP,DK,DK_heat,heat pump,0.0,1924.3017169846305,True,154461.39163752433,0.0,1.0,
DK_resistive_heater,DK,DK_heat,resistive heater,0.0,0.0,True,15280.641338661815,0.0,0.9,
DK_gas_boiler,DK_CH4,DK_heat,gas boiler,0.0,8327.16234761689,True,65328.44635119197,0.0,0.975,
DK_water_tank_charger,DK_heat,DK_heat_storage,heat storage charger,0.0,0.0,True,0.0,0.0,1.0,0.15
DK_water_tank_discharger,DK_heat_storage,DK_heat,heat storage discharger,0.0,0.0,True,0.0,0.0,1.0,
DE_ASHP,DE,DE_heat,heat pump,0.0,29199.724680004558,True,154461.39163752433,0.0,1.0,
DE_resistive_heater,DE,DE_heat,resistive heater,0.0,1444.7169570624565,True,15280.641338661815,0.0,0.9,
DE_gas_boiler,DE_CH4,DE_heat,gas boiler,0.0,128112.33541217838,True,65328.44635119197,0.0,0.975,
DE_water_tank_charger,DE_heat,DE_heat_storage,heat storage charger,0.0,0.0,True,0.0,0.0,1.0,0.15
DE_water_tank_discharger,DE_heat_storage,DE_heat,heat storage discharger,0.0,0.0,True,0.0,0.0,1.0,
SE_ASHP,SE,SE_heat,heat pump,0.0,3901.8518813841224,True,154461.39163752433,0.0,1.0,
SE_resistive_heater,SE,SE_heat,resistive heater,0.0,0.0,True,15280.641338661815,0.0,0.9,
SE_gas_boiler,SE_CH4,SE_heat,gas boiler,0.0,19105.641025641027,True,65328.44635119197,0.0,0.975,
SE_water_tank_charger,SE_heat,SE_heat_storage,heat storage charger,0.0,0.0,True,0.0,0.0,1.0,0.15
SE_water_tank_discharger,SE_heat_storage,SE_heat,heat storage discharger,0.0,0.0,True,0.0,0.0,1.0,
NO_ASHP,NO,NO_heat,heat pump,0.0,1868.3804123411041,True,154461.39163752433,0.0,1.0,
NO_resistive_heater,NO,NO_heat,resistive heater,0.0,0.0,True,15280.641338661815,0.0,0.9,
NO_gas_boiler,NO_CH4,NO_heat,gas boiler,0.0,8490.051065963442,True,65328.44635119197,0.0,0.975,
NO_water_tank_charger,NO_heat,NO_heat_storage,heat storage charger,0.0,0.0,True,0.0,0.0,1.0,0.15
NO_water_tank_discharger,NO_heat_storage,NO_heat,heat storage discharger,0.0,0.0,True,0.0,0.0,1.0,
