Technology,cost_key,Investment [EUR/MW],Lifetime [yr],FOM [%/yr],VOM [EUR/MWh],Efficiency [-],Fuel price [EUR/MWh_th],CO2 intensity [tCO2/MWh_th],Fixed [EUR/MW/yr]
Solar,solar,850675300.0,37.5,1.7275,0.0134,0.0,0.0,0.0,79356.58259808348
Onshore wind,onwind,1438884500.0,28.5,1.2347,1.9035,0.0,0.0,0.0,135624.35917903596
Offshore wind,offwind,2224372100.0,30.0,2.3741,0.0267,0.0,0.0,0.0,232062.96563555775
CCGT,CCGT,1142111700.0,25.0,3.3392,5.744,0.57,0.0,0.0,136142.58958717366
Coal,coal,4812024400.0,40.0,1.31,4.1005,0.356,7.8202,0.3361,423983.3261228014
Nuclear,nuclear,10805703799.999998,40.0,1.27,4.459,0.326,7.4536,0.0,947758.9752212986
Battery inverter,battery inverter,287465700.0,10.0,0.2512,0.0,0.955,0.0,0.0,41650.76232417379
Battery storage,battery storage,250028300.0,22.5,0.0,0.0,0.0,0.0,0.0,22386.922942136724
Electrolysis,electrolysis,2263202300.0,25.0,4.0,0.0,0.5874,0.0,0.0,284734.651938
H2 turbine / OCGT,OCGT,593898100.0,25.0,1.7784,6.0111,0.405,0.0,0.0,61524.58694777057
H2 fuel cell,fuel cell,1602963700.0,10.0,5.0,0.0,0.5,0.0,0.0,308374.15356861654
H2 storage,hydrogen storage tank type 1 including compressor,68129400.00000001,27.5,1.0794,0.0,0.0,0.0,0.0,6383.1025773134825
Heat pump,decentral air-sourced heat pump,1195543799.9999998,18.0,2.9785,0.0,3.5,0.0,0.0,154461.39163752433
Resistive heater,decentral resistive heater,133580299.99999999,20.0,2.0,0.0,0.9,0.0,0.0,15280.641338661815
Gas boiler,decentral gas boiler,406686399.99999994,20.0,6.6243,0.0,0.975,0.0,0.0,65328.44635119197
Water tank storage,decentral water tank storage,527907299.99999994,30.0,1.0,1.0944,0.0,0.0,0.0,47821.223694261214
Water tank charger,decentral water tank charger,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Water tank discharger,decentral water tank discharger,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
