generator,capacity_mw,mean_dispatch_mw,dispatch_std_mw,capacity_factor,year
DK_CCGT,5417.427659216655,1341.6283849653125,1268.1038267898655,0.24765044765901095,2015
DK_CCGT,5361.788765294964,1328.0729423086962,1263.5161411449558,0.24769214164214393,2016
DK_CCGT,5259.445120019759,1207.566890055745,1220.145726473469,0.22959967496556144,2017
DK_coal,0.0,0.0,0.0,0.0,2015
DK_coal,0.0,0.0,0.0,0.0,2016
DK_coal,0.0,0.0,0.0,0.0,2017
DK_nuclear,0.0,0.0,0.0,0.0,2015
DK_nuclear,0.0,0.0,0.0,0.0,2016
DK_nuclear,0.0,0.0,0.0,0.0,2017
DK_offshore_wind,3110.383264165217,1323.7394142069602,870.6729659414192,0.42558723532813025,2015
DK_offshore_wind,4741.122362281495,1716.5942262738536,1174.8582392021478,0.36206494899401925,2016
DK_offshore_wind,4805.057532301138,1916.2065516876908,1212.7786497234824,0.3987895126762449,2017
DK_onshore_wind,2818.9193160986815,589.0126195155636,505.460723049516,0.20894979723319762,2015
DK_onshore_wind,0.0,0.0,0.0,0.0,2016
DK_onshore_wind,0.0,0.0,0.0,0.0,2017
DK_solar,3578.6482260030652,491.73712354960645,799.6935063986961,0.1374086226124605,2015
DK_solar,4056.42421196822,632.0369810076141,1000.1168778183151,0.15581136192384157,2016
DK_solar,3674.7504897999497,582.730047982592,933.3062226699102,0.15857676585120078,2017
