Country,Carrier,Optimized capacity [MW],Annual generation [GWh]
DE,coal,0.0,0.0
DE,gas CCGT,62341.11631884731,185711.7970574957
DE,nuclear,0.0,0.0
DE,offwind,68432.84065625184,293248.03782199766
DE,onwind,0.0,0.0
DE,solar,19694.343805146513,17323.249512767954
DK,coal,0.0,0.0
DK,gas CCGT,0.0,0.0
DK,nuclear,0.0,0.0
DK,offwind,4520.640978774831,15124.634259961922
DK,onwind,0.0,0.0
DK,solar,15597.531834957606,20783.81789094078
NO,coal,0.0,0.0
NO,gas CCGT,22406.16770503296,113070.90998745081
NO,nuclear,0.0,0.0
NO,offwind,0.0,0.0
NO,onwind,0.0,0.0
NO,solar,0.0,0.0
SE,coal,0.0,0.0
SE,gas CCGT,21102.281652474227,34873.11406665168
SE,nuclear,0.0,0.0
SE,offwind,0.0,0.0
SE,onwind,49719.97852517508,109822.5478083068
SE,solar,0.0,0.0
